college_name,nickname,conference,tag_list,network_list
Baylor,Bears,Big 12,"Waco, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Boise State,Broncos,Mountain West,"Boise, Idaho, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
Boston College,Eagles,ACC,"Chestnut Hill, Massachusetts, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Bowling Green,Falcons,MAC,"Bowling Green, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Buffalo,Bulls,MAC,"Buffalo, New York, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
BYU,Cougars,Independent,"Provo, Utah, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","BYUtv, ESPN, , , , , , , , , , "
California,Golden Bears,Pac-12,"Berkeley, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Fresno State,Bulldogs,Mountain West,"Fresno, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
UCLA,Bruins,Pac-12,"Los Angeles, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
UCF,Knights,American,"Orlando, Florida, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Central Michigan,Chippewas,MAC,"Mount Pleasant, Michigan, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Charlotte,49ers,C-USA,"Charlotte, North Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Cincinnati,Bearcats,American,"Cincinnati, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Clemson,Tigers,ACC,"Clemson, South Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Colorado,Buffaloes,Pac-12,"Boulder, Colorado, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
