college_name,nickname,conference,tag_list,network_list
Miami (FL),Hurricanes,ACC,"Coral Gables[n 7], Florida, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Miami (OH),RedHawks,MAC,"Oxford, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Michigan,Wolverines,Big Ten,"Ann Arbor, Michigan, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Michigan State,Spartans,Big Ten,"East Lansing, Michigan, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Middle Tennessee,Blue Raiders,C-USA,"Murfreesboro, Tennessee, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Minnesota,Golden Gophers,Big Ten,"Minneapolis, Minnesota, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Ole Miss,Rebels,SEC,"Oxford, Mississippi, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Mississippi State,Bulldogs,SEC,"Starkville, Mississippi, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Missouri,Tigers,SEC,"Columbia, Missouri, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Navy,Midshipmen,American,"Annapolis, Maryland, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Nebraska,Cornhuskers,Big Ten,"Lincoln, Nebraska, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Nevada,Wolf Pack,Mountain West,"Reno, Nevada, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
UNLV,Rebels,Mountain West,"Las Vegas[n 8], Nevada, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
New Mexico,Lobos,Mountain West,"Albuquerque, New Mexico, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
New Mexico State,Aggies,Sun Belt,"Las Cruces, New Mexico, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
North Carolina,Tar Heels,ACC,"Chapel Hill, North Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
NC State,Wolfpack,ACC,"Raleigh, North Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
North Texas,Mean Green,C-USA,"Denton, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
NIU,Huskies,MAC,"DeKalb, Illinois, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Northwestern,Wildcats,Big Ten,"Evanston, Illinois, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Notre Dame,Fighting Irish,Independent,"South Bend, Indiana, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","NBC, , , , , , , , , , , "
Ohio,Bobcats,MAC,"Athens, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Ohio State,Buckeyes,Big Ten,"Columbus, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Oklahoma,Sooners,Big 12,"Norman, Oklahoma, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Oklahoma State,Cowboys,Big 12,"Stillwater, Oklahoma, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Old Dominion,Monarchs,C-USA,"Norfolk, Virginia, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Oregon,Ducks,Pac-12,"Eugene, Oregon, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Oregon State,Beavers,Pac-12,"Corvallis, Oregon, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Penn State,Nittany Lions,Big Ten,"State College, Pennsylvania, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Pittsburgh,Panthers,ACC,"Pittsburgh, Pennsylvania, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Purdue,Boilermakers,Big Ten,"West Lafayette, Indiana, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Rice,Owls,C-USA,"Houston, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Rutgers,Scarlet Knights,Big Ten,"Piscataway, New Jersey, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
San Diego State,Aztecs,Mountain West,"San Diego, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
San Jose State,Spartans,Mountain West,"San Jose, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
South Alabama,Jaguars,Sun Belt,"Mobile, Alabama, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
South Carolina,Gamecocks,SEC,"Columbia, South Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
South Florida,Bulls,American,"Tampa, Florida, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
USC,Trojans,Pac-12,"Los Angeles, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
